Site,Status,Tempo,Elemento_OK,Hora
Teste 500,Erro,,False,2025-08-21 11:23:42
Teste 301,200,0.2570202350616455,False,2025-08-21 11:23:43
Teste 403,Erro,,False,2025-08-21 11:23:43
Google,200,0.3920578956604004,False,2025-08-21 11:24:43
LinkedIn,200,0.3113560676574707,False,2025-08-21 11:24:50
Amazon,503,0.19797539710998535,True,2025-08-21 11:24:56
Globo,200,0.25647854804992676,False,2025-08-21 11:24:58
Teste 404,Erro,,False,2025-08-21 11:25:15
Teste 500,Erro,,False,2025-08-21 11:25:15
Teste 301,200,0.3112940788269043,False,2025-08-21 11:25:15
Teste 403,Erro,,False,2025-08-21 11:25:15
Google,200,0.22078323364257812,False,2025-08-21 11:26:16
LinkedIn,200,0.3479909896850586,False,2025-08-21 11:26:22
Amazon,503,0.22397708892822266,True,2025-08-21 11:26:28
Globo,200,0.208909273147583,False,2025-08-21 11:26:30
Teste 404,Erro,,False,2025-08-21 11:26:41
Teste 500,Erro,,False,2025-08-21 11:26:41
Teste 301,200,0.21723461151123047,False,2025-08-21 11:26:42
Teste 403,Erro,,False,2025-08-21 11:26:42
Google,200,0.22527861595153809,False,2025-08-21 11:27:42
LinkedIn,200,0.34117817878723145,False,2025-08-21 11:27:48
Amazon,503,0.44633984565734863,True,2025-08-21 11:27:55
Globo,200,0.10885834693908691,False,2025-08-21 11:27:57
Teste 404,Erro,,False,2025-08-21 11:28:06
Teste 500,Erro,,False,2025-08-21 11:28:06
Teste 301,200,0.2074575424194336,False,2025-08-21 11:28:07
Teste 403,Erro,,False,2025-08-21 11:28:07
Google,200,0.20877647399902344,False,2025-08-21 11:29:07
LinkedIn,200,0.3324868679046631,False,2025-08-21 11:29:13
Amazon,503,0.22197771072387695,True,2025-08-21 11:29:20
Globo,200,0.22144079208374023,False,2025-08-21 11:29:21
Teste 404,Erro,,False,2025-08-21 11:29:31
Teste 500,Erro,,False,2025-08-21 11:29:31
Teste 301,200,0.2209789752960205,False,2025-08-21 11:29:32
Teste 403,Erro,,False,2025-08-21 11:29:32
Google,200,0.21496272087097168,False,2025-08-21 11:30:32
